machine_id,machine_type,manufacturer,model_year,machine_age_years,warranty_status,operating_hours_per_day,load_percentage,vibration_level_mm_s,temperature_celsius,pressure_bar,rpm,power_consumption_kw,noise_level_db,days_since_last_maintenance,maintenance_count_last_year,last_maintenance_type,technician_skill_level,parts_replaced_count,lubrication_quality,alignment_status,ambient_temperature_c,humidity_percentage,dust_exposure_level,corrosion_level,oil_quality_index,bearing_temperature_c,current_amps,voltage_volts,torque_nm,startup_cycles_per_day,emergency_stops_count,overloads_count_last_month,failure_next_30days
MCH_00000001,Conveyor,Siemens,2018,6,Expired,13,66,3.6,75.2,8.58,1377,28.28,56,3,3,Preventive,Junior,1,Fair,Aligned,20.2,25,Low,Minor,62,60.5,46.15,431.8,205.19,5,1,2,No
MCH_00000002,Compressor,Siemens,2016,8,Expired,14,79,2.98,95.3,9.24,1784,5.26,95,65,4,Preventive,Junior,1,Excellent,Slightly Off,24,58,Low,None,65,48.3,59.47,436.3,226.17,4,0,2,No
MCH_00000003,Motor,Other,2014,10,Expired,23,46,0.55,65.6,12.17,1274,45.01,95,19,6,Preventive,Senior,1,Fair,Aligned,29.1,35,High,Minor,70,54.6,48.11,442.4,233.35,2,0,0,No
MCH_00000004,Motor,ABB,2009,15,Expired,8,91,7.76,51.5,7.81,2162,19.64,64,168,7,Corrective,Intermediate,3,Excellent,Slightly Off,24.8,56,Medium,None,88,59.3,49.81,453.8,199.22,9,0,2,Yes
MCH_00000005,Valve,Siemens,2009,15,Expired,21,86,0.79,64.3,7.7,1904,2.22,68,19,4,Preventive,Senior,2,Good,Aligned,27.5,56,Medium,Severe,60,72.4,62.36,437.7,208.66,3,1,3,Yes
MCH_00000006,Motor,Siemens,2022,2,Under Warranty,21,95,3.06,76.6,7.61,2045,31.11,72,103,1,Preventive,Intermediate,0,Excellent,Misaligned,15.9,86,Low,Minor,61,58.9,69.04,419,247.34,7,0,0,No
MCH_00000007,Generator,Schneider,2017,7,Expired,14,62,3.13,90.1,3.8,1815,9.74,77,56,4,Overhaul,Expert,1,Poor,Aligned,24.2,50,High,None,100,40.9,57.16,435.6,167.8,3,0,0,Yes
MCH_00000008,Compressor,Mitsubishi,2021,3,Under Warranty,19,70,3.49,38.9,9.24,2621,34.8,88,57,8,Corrective,Intermediate,1,Fair,Aligned,16.6,66,Low,None,,53,79.37,463,327.63,4,1,2,No
MCH_00000009,Pump,ABB,2012,12,Expired,16,91,1.86,40.2,10.73,1885,83.69,64,53,7,Corrective,Expert,0,Good,Aligned,29.1,50,High,None,59,53.3,63,449,192.1,3,0,0,No
MCH_00000010,Generator,Schneider,2015,9,Expired,12,30,0,86.2,6.93,1526,3,65,29,3,Preventive,Senior,1,Excellent,Aligned,33.1,62,Low,Moderate,66,58.2,62.98,434.4,156.51,4,0,2,No
